country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
孟加拉国,0.000781795555355669,0.0007545486552640768,0.0007207543708652642,0.0007448701566956536,0.0006546079693246055,0.0004972072172514117,0.00046919187867135344,0.000467067819172667,0.00044363790956045954,0.000445321439796276,0.00046780701139823575,0.0004012900307098141,0.00038136716380424694,0.00040109843150350373,0.0003594839247142784,0.00033668047614496103,0.00039694832503476196,0.0003567391650288793,0.00035166094742791705,0.00034706954328614945,0.0003428981529589673,0.0003390916643065635,0.0003356042026907783,0.00033239727428951613,0.00032943833834678086,0.0003266996999154444
中国,0.002736808555718762,0.0028446269498912874,0.0028236139976117185,0.002767355623681226,0.002516568764495842,0.0020311022102856143,0.0016046368602756187,0.0015085885429327636,0.0013334976295342935,0.001162850324520073,0.0010503472380916992,0.0009615302093918625,0.000879929553662462,0.0008291784844890482,0.0008148490433528813,0.0007542053086777539,0.0007229717863739622,0.000765057972019866,0.0007451726921284977,0.0007273424729698602,0.0007112643946034587,0.0006966922840707546,0.0006834240190882453,0.0006712921017318513,0.0006601565437055853,0.0006498994437679832
印度,0.0020297374763148597,0.001791131928162093,0.001587557299160096,0.0014327103230693048,0.0013273793598659255,0.0011525970922616738,0.0011573448365336258,0.0012131716285140434,0.000994837284425738,0.0009272307813699433,0.000993724875680085,0.001006753229722784,0.0010197561964751288,0.0010010547312691808,0.0009842028578068694,0.0008995341206447778,0.0009412655008902902,0.0009086023675325091,0.0008983410182309154,0.0008889964069909665,0.0008804509359108019,0.0008726062968883263,0.0008653796706807694,0.0008587007930408033,0.0008525096620050429,0.0008467547313417369
印度尼西亚,0.0015434353341512931,0.0014076718153923937,0.001276029377512265,0.0011782828072934173,0.0009562918063410102,0.0008398875642728489,0.0006923098367647753,0.000675189786645453,0.0005662869930805567,0.0005364127354307587,0.0005575953547754668,0.0005768614536637275,0.0005395061061042337,0.0005675757653738258,0.0005289316862813671,0.0005082030230606009,0.00047837868256350334,0.0004676158673016736,0.0004567733092799309,0.00044690135300693747,0.0004378752520974362,0.0004295907606352976,0.00042196008561678843,0.0004149087665054341,0.0004083732348845546,0.00040229889515644614
以色列,0.0005277516983050478,0.0005168447715273967,0.0004880213944382559,0.0004750326040716825,0.00043790754118108857,0.00039385878288671327,0.0003315434727432517,0.00032971814897253104,0.00030633253377661235,0.0002793094558121635,0.00030648512812146976,0.00023692717412134853,0.00021547839302042725,0.0002323021136433475,0.00021635809682724882,0.00019814961475357016,0.00019270120630592448,0.00019094662757414044,0.00018394887567244007,0.00017749665712712203,0.00017152857187677293,0.0001659921008808294,0.0001608420563927258,0.00015603934578723247,0.00015154997752608843,0.00014734425535974576
泰国,0.0015517256006782748,0.0014908254979969463,0.0014265529498261066,0.0013540861698727456,0.0011677044200260817,0.0009008423179541242,0.000814735033979441,0.0008395148953802058,0.0007291011046427901,0.0006836231418131954,0.0006814096637592466,0.0006516249870278986,0.0006891067116006763,0.0007209779702139341,0.0007176591471750639,0.0006586829133240051,0.0006111292281758508,0.0005887870286940578,0.0005737576784189297,0.0005599119745129159,0.0005471153865552704,0.0005352530266937367,0.0005242261912311763,0.0005139496085361194,0.0005043492280913526,0.0004953604341469616
英国,0.00032818839435561894,0.00029105948409456335,0.00025029485808872765,0.00023905517106650613,0.00022430928026560826,0.0001843015865407738,0.00019378717597620353,0.000215516347978378,0.00021713077285613313,0.00018786322407943608,0.00019121234551726517,0.0001810017173540271,0.0001506888856586101,0.00015135923357230275,0.0001559468745022119,0.000153236435028677,0.00013341522177516,0.00013030768687352003,0.0001238988801461972,0.00011766443287565812,0.00011159732503836392,0.00010569090855586868,9.993888277974455e-05,9.433527232674598e-05,8.887440612137102e-05,8.3550898500207e-05
德国,0.0004354027423326897,0.00036319828305856646,0.00031868878144906656,0.0003075415768686186,0.000299221531331046,0.00023467510301533636,0.00021492312048881034,0.00021973204804367322,0.00022843968336500495,0.00020251759004916232,0.00021735426000208738,0.00021175140325670934,0.0001919601180621825,0.00022236421914737694,0.00021933169685756126,0.00020648735662752386,0.00018003634170873247,0.00017137203846597196,0.00016518789277905865,0.00015925135570147057,0.0001535478480505383,0.0001480639130879192,0.00014278711070655364,0.00013770592303987366,0.0001328096707165272,0.00012808843776258448
法国,0.0002821424995780854,0.00023408966329255788,0.0002056540071387958,0.00019735333915692644,0.00018410590648611311,0.00013970239418756625,0.00012715475227682895,0.00013245056559213006,0.00013679659945859069,0.0001170402753131162,0.00012530622220379496,0.00011952711121869561,0.000105989632206373,0.00012734763122922805,0.00012790378211187576,0.00012445342082748024,0.00010610125771488302,9.430504086826393e-05,8.965686392528642e-05,8.517283191447053e-05,8.084440090131461e-05,7.666360970063897e-05,7.262303112853264e-05,6.871572795907145e-05,6.493521323613368e-05,6.127541422284985e-05
俄罗斯,0.004510201653621645,0.003694691585801879,0.002691250745634464,0.0020667837965643574,0.0016621051215735892,0.0011643313493760064,0.000926774410213135,0.001170648197537508,0.0009690585224728471,0.0007583619506642733,0.0007099181734179199,0.0006650487337390487,0.0007417877016933262,0.0010884960270563676,0.0011687304339327584,0.0009435036170317956,0.0007152607631002238,0.0006584048307630148,0.0006292729547354294,0.0006023978168814577,0.000577526963941318,0.0005544442430685358,0.0005329635053520156,0.000512923572651375,0.0004941841878456489,0.00047662272511543146
乌克兰,0.007704223758120641,0.006692251508966415,0.0051242003766753625,0.0037709910311777392,0.003065538532607471,0.0021207006732093087,0.0016867756424948888,0.0022360773052960328,0.0021093652535943055,0.0018570678858851372,0.0016878982900229537,0.0015585607540598199,0.0018344037902147002,0.002114664960970805,0.0022890901486416647,0.0016495152949237142,0.0012080304967940175,0.0011791350378370523,0.00108368405862112,0.0009929406716507052,0.0009065649938381587,0.0008242490930821525,0.0007457133191757213,0.0006707031286125395,0.0005989863303599147,0.0005303506840032248
加拿大,0.0007985890088577563,0.0007077130312475139,0.0006150014158444114,0.000543847665056399,0.0004782057244020149,0.00037653799365729466,0.0003522106135392883,0.00036633420404548386,0.00032644061403877414,0.0003013451124452682,0.0002867967025463612,0.00029409098515696094,0.0003064018010561306,0.00035078383572394406,0.00035096019460947777,0.00033361257322951556,0.00028362584979436717,0.00025611269089798137,0.00024603748163132624,0.00023651616924388517,0.0002275042991059424,0.00021896204957635762,0.00021085364400255142,0.00020314684974110078,0.000195812550098441,0.00018882437644471967
美国,0.0005754501007551101,0.000553614874388279,0.0005300000622250532,0.0004982117742482206,0.00046420582225671387,0.0004069649166266487,0.00038576495572406285,0.00036431066323794727,0.0003645665049721012,0.0003445823866330575,0.0003171573612334674,0.0003134076078482913,0.0003025040824981664,0.00028287040932479444,0.0002701474818049895,0.000257341473310727,0.00026149875185855933,0.0002338872869485505,0.00022304596510821088,0.00021274648537965884,0.00020294921666229852,0.0001936183008647303,0.00018472121424918062,0.0001762283886700848,0.00016811288322537675,0.00016035009906730126
阿根廷,0.001092222088940442,0.0009387750196030429,0.0008579850564819708,0.0007586391512206975,0.000673649040412792,0.0005408014454543794,0.00043813062705802867,0.00045873552150125564,0.00038922600390073065,0.00031839554196957845,0.00030149756174536086,0.00029805188815126013,0.0003223700787578301,0.0002884153774640788,0.0003350383331982273,0.0002887905585325279,0.0002463574878536235,0.0002555268873110738,0.00024773122531013985,0.00024065262953907557,0.00023419651353587454,0.00022828422596372238,0.0002228498300865022,0.0002178376345853919,0.0002132002775014806,0.0002088972262177138
巴西,0.0007027065348357038,0.0006380511705284247,0.0005609171814279918,0.0004300564296244702,0.00035101414234492943,0.00025154707337259014,0.00022053767188187236,0.00021079830906930617,0.00018081904616396672,0.0001622227044300181,0.00017986163840451197,0.00019548536679566813,0.00020545236489079733,0.0002705564051288084,0.0002515617505684007,0.0002232533555293126,0.00016379679718290212,0.00017344234461815337,0.00016901543060616794,0.00016494477933352508,0.00016118904809462779,0.00015771305291730148,0.00015448666282219452,0.00015148392404822403,0.00014868236058289576,0.00014606241037957117
墨西哥,0.0005181522320672452,0.0005793441506245282,0.0005534960217497646,0.000536772505440851,0.0004946230770029439,0.00040742014593875313,0.0003888332422612787,0.0004810859793399124,0.0004182262714130173,0.00039424399497906974,0.00039439051731603034,0.000370749935770418,0.00034931603494362873,0.0003955347857629231,0.00043466951878403726,0.00041166295190785124,0.00035270414681311864,0.00035642530976731445,0.0003502931665357918,0.00034443956532307236,0.00033884594901868476,0.00033349537338351373,0.00032837233504604744,0.0003234626219627197,0.0003187531815397405,0.0003142320047672467
